"drugBankId"
"DB00659"
"DB00284"
"DB01193"
"DB00316"
"DB00819"
"DB00414"
"DB01063"
"DB00787"
"DB00210"
"DB00640"
"DB00131"
"DB00240"
"DB00630"
"DB00346"
"DB09026"
"DB00523"
"DB00437"
"DB00918"
"DB00969"
"DB00404"
"DB00915"
"DB01122"
"DB01143"
"DB00594"
"DB00357"
"DB01223"
"DB01118"
"DB00321"
"DB00381"
"DB01351"
"DB00182"
"DB01427"
"DB01217"
"DB01125"
"DB00714"
"DB00278"
"DB01238"
"DB01169"
"DB00945"
"DB00637"
"DB01072"
"DB00335"
"DB00289"
"DB01076"
"DB00572"
"DB00995"
"DB00928"
"DB00993"
"DB00548"
"DB00181"
"DB01014"
"DB00394"
"DB00542"
"DB00436"
"DB01086"
"DB00868"
"DB00865"
"DB00245"
"DB01244"
"DB00443"
"DB00195"
"DB01019"
"DB00307"
"DB01128"
"DB00905"
"DB00810"
"DB00612"
"DB00290"
"DB00188"
"DB00559"
"DB00484"
"DB01194"
"DB00963"
"DB01200"
"DB00354"
"DB01222"
"DB00887"
"DB00297"
"DB00921"
"DB01156"
"DB00490"
"DB01008"
"DB00241"
"DB00611"
"DB00248"
"DB00201"
"DB00136"
"DB00796"
"DB01101"
"DB01197"
"DB00564"
"DB00190"
"DB00958"
"DB00262"
"DB00521"
"DB01136"
"DB01327"
"DB00535"
"DB00482"
"DB00475"
"DB01161"
"DB00608"
"DB00880"
"DB00477"
"DB00672"
"DB00310"
"DB00356"
"DB00169"
"DB00122"
"DB01410"
"DB01188"
"DB00501"
"DB00537"
"DB00604"
"DB00515"
"DB00215"
"DB04272"
"DB00242"
"DB00771"
"DB01013"
"DB00631"
"DB00636"
"DB00882"
"DB01242"
"DB01068"
"DB00575"
"DB00758"
"DB00257"
"DB00363"
"DB00907"
"DB00318"
"DB01394"
"DB01003"
"DB00115"
"DB01176"
"DB00924"
"DB00091"
"DB00434"
"DB00987"
"DB00851"
"DB01406"
"DB01219"
"DB01254"
"DB00694"
"DB01262"
"DB01189"
"DB01151"
"DB00035"
"DB00304"
"DB01260"
"DB00547"
"DB01234"
"DB00380"
"DB01576"
"DB00514"
"DB00829"
"DB00527"
"DB00586"
"DB00804"
"DB00937"
"DB00255"
"DB00861"
"DB00390"
"DB01551"
"DB00320"
"DB01070"
"DB00343"
"DB00917"
"DB01075"
"DB01231"
"DB00449"
"DB00975"
"DB00280"
"DB00822"
"DB00313"
"DB01248"
"DB00204"
"DB00757"
"DB00843"
"DB00988"
"DB00869"
"DB00590"
"DB01142"
"DB00997"
"DB00366"
"DB01395"
"DB00476"
"DB00651"
"DB00216"
"DB00584"
"DB01228"
"DB00494"
"DB01364"
"DB00668"
"DB00445"
"DB01240"
"DB00876"
"DB00153"
"DB00696"
"DB00530"
"DB00199"
"DB01175"
"DB00187"
"DB00736"
"DB00783"
"DB01196"
"DB00655"
"DB00903"
"DB00898"
"DB00977"
"DB00593"
"DB00754"
"DB00749"
"DB00773"
"DB01590"
"DB00990"
"DB00927"
